Size, Time
 1, 0.4
 2, 1.35
 3, 3.2
 4, 5.95
 5, 8.9
 6, 12.45
 7, 17.4
 8, 22.05
 9, 27.95
 10, 34.35
 11, 41.85
 12, 49.7
 13, 58.05
 14, 67.45
 15, 77.55
 16, 88.3
 17, 99.25
 18, 111.4
 19, 124
 20, 137.55
 21, 151.8
 22, 166.4
 23, 183.05
 24, 199.25
 25, 215.7
 26, 232.15
 27, 251.05
 28, 271.25
 29, 289
 30, 310
 31, 331
 32, 351.05
 33, 375.55
 34, 398.1
 35, 422.2
 36, 541.05
 37, 473.15
 38, 512.75
 39, 529.7
 40, 582.25
 41, 604.7
 42, 646.85
 43, 664.35
 44, 728.95
 45, 746.7
 46, 755.1
 47, 793.4
 48, 800.2
 49, 839.15
