Size, Time
 1, 0.5
 2, 1.85
 3, 4.2
 4, 8.05
 5, 12
 6, 17.1
 7, 22.6
 8, 30.65
 9, 37.7
 10, 47
 11, 57.05
 12, 67.3
 13, 78.85
 14, 91.5
 15, 105.2
 16, 119.45
 17, 134.15
 18, 151.25
 19, 168.75
 20, 185.95
 21, 206.1
 22, 225.4
 23, 246.5
 24, 268
 25, 290.3
 26, 315.55
 27, 338
 28, 364.75
 29, 407.4
 30, 433.7
 31, 460.5
 32, 499.75
 33, 544.8
 34, 632.45
 35, 621.3
 36, 635.1
 37, 659.85
 38, 693.55
 39, 728.4
 40, 782.6
 41, 878.35
 42, 832.65
 43, 888.45
 44, 923.95
 45, 968.5
 46, 979.85
 47, 1077.3
 48, 1097.85
 49, 1126.25
