Size, Time
 1, 0.6
 2, 3.2
 3, 6.8
 4, 12.2
 5, 17.4
 6, 25.6
 7, 33.6
 8, 43.8
 9, 56.6
 10, 69.2
 11, 84.2
 12, 99.6
 13, 116.2
 14, 135
 15, 156.8
 16, 176.4
 17, 198.8
 18, 222.4
 19, 248.2
 20, 274.8
 21, 311.4
 22, 338.4
 23, 382.6
 24, 431.8
 25, 436.6
 26, 462.4
 27, 498.2
 28, 546.6
 29, 584
 30, 617.8
 31, 663.2
 32, 706.2
 33, 749
 34, 820.8
 35, 857.4
 36, 913.8
 37, 992.6
 38, 1027.4
 39, 1075.4
 40, 1121.6
 41, 1174.4
 42, 1216.4
 43, 1275.6
 44, 1356.6
 45, 1398.6
 46, 1460.6
 47, 1523.6
 48, 1592.6
 49, 1666.4
