Size, Time
 1, 1.4
 2, 1.8
 3, 3.6
 4, 5.4
 5, 9.4
 6, 13.2
 7, 18.4
 8, 25.6
 9, 27.8
 10, 33.6
 11, 41.8
 12, 49.6
 13, 59
 14, 67.2
 15, 77.4
 16, 88
 17, 100.2
 18, 110.6
 19, 124.2
 20, 137
 21, 151.4
 22, 164.4
 23, 182.2
 24, 199.4
 25, 223
 26, 235.2
 27, 254.2
 28, 272.4
 29, 311.4
 30, 321.2
 31, 329.6
 32, 351.6
 33, 373.2
 34, 395.4
 35, 420.4
 36, 445.2
 37, 469.4
 38, 495.2
 39, 538.8
 40, 546.4
 41, 573.2
 42, 601
 43, 629.2
 44, 667.6
 45, 693
 46, 735
 47, 800.8
 48, 791.6
 49, 827
