Size, Time
 1, 1.4
 2, 1.8
 3, 3.4
 4, 5.8
 5, 10.4
 6, 13.2
 7, 18.6
 8, 23.2
 9, 29.6
 10, 35.8
 11, 44.4
 12, 52
 13, 60.4
 14, 69.4
 15, 82.6
 16, 92
 17, 101.8
 18, 112.6
 19, 124.2
 20, 137.8
 21, 151
 22, 169.2
 23, 196.8
 24, 206.6
 25, 226.6
 26, 233
 27, 249.6
 28, 270.6
 29, 306.6
 30, 322.4
 31, 337.2
 32, 363.4
 33, 399.6
 34, 406.6
 35, 429.2
 36, 460.2
 37, 478.4
 38, 524.2
 39, 547
 40, 562
 41, 594.4
 42, 611.8
 43, 654.6
 44, 667.6
 45, 693.2
 46, 741.4
 47, 875.6
 48, 865
 49, 884.4
